Timestamp,Address,Step_Name,Phase,Parameter_Alpha,Parameter_Beta,Process_Status_Score,Status
2026-08-12 09:00:00,step_32,상위_배선층_반복,IDLE,5.1022861134643,2.5183899748829206,4.932060448249322,NORMAL
2026-08-12 09:00:05,step_32,상위_배선층_반복,IDLE,5.0501140901161286,2.4926767841230246,4.974626978925195,NORMAL
2026-08-12 09:00:10,step_32,상위_배선층_반복,IDLE,5.050646639706916,2.484474773665278,4.962404915454546,NORMAL
2026-08-12 09:00:15,step_32,상위_배선층_반복,IDLE,4.928074092372766,2.5490779752912114,4.9712167211713645,NORMAL
2026-08-12 09:00:20,step_32,상위_배선층_반복,IDLE,5.039554737598385,2.5034406040299797,4.962501816672682,NORMAL
2026-08-12 09:00:25,step_32,상위_배선층_반복,IDLE,5.011959834899997,2.493562817184945,4.953776945857131,NORMAL
2026-08-12 09:00:30,step_32,상위_배선층_반복,IDLE,5.038992587252313,2.463072949108739,4.956360229853351,NORMAL
2026-08-12 09:00:35,step_32,상위_배선층_반복,IDLE,4.948223662437222,2.4766879855770165,4.961821569530127,NORMAL
2026-08-12 09:00:40,step_32,상위_배선층_반복,IDLE,4.946425460077855,2.4839420447532574,4.9379502012410645,NORMAL
2026-08-12 09:00:45,step_32,상위_배선층_반복,IDLE,4.992872065628126,2.510985337927982,4.924193996464395,NORMAL
2026-08-12 09:00:50,step_32,상위_배선층_반복,IDLE,4.981040669753181,2.491094318547695,4.940297698730327,NORMAL
2026-08-12 09:00:55,step_32,상위_배선층_반복,IDLE,4.992128139552493,2.5003799324087166,4.960882467007992,NORMAL
2026-08-12 09:01:00,step_32,상위_배선층_반복,IDLE,4.976023430198022,2.4641687525943206,4.937043254362514,NORMAL
2026-08-12 09:01:05,step_32,상위_배선층_반복,IDLE,4.989949150499442,2.535110720977897,4.992592332937348,NORMAL
2026-08-12 09:01:10,step_32,상위_배선층_반복,IDLE,4.966695104301676,2.4815627499596458,4.958825264333866,NORMAL
2026-08-12 09:01:15,step_32,상위_배선층_반복,IDLE,4.997586209428594,2.505878063280177,4.952389749798208,NORMAL
2026-08-12 09:01:20,step_32,상위_배선층_반복,IDLE,4.928821836948188,2.4867359990591082,4.937873253683494,NORMAL
2026-08-12 09:01:25,step_32,상위_배선층_반복,IDLE,5.0257052650414344,2.492046697168665,4.968314740240182,NORMAL
2026-08-12 09:01:30,step_32,상위_배선층_반복,IDLE,5.013027178322894,2.4801488579597475,4.925761155474463,NORMAL
2026-08-12 09:01:35,step_32,상위_배선층_반복,IDLE,4.936908579712848,2.5074075811889434,4.956315428756643,NORMAL
2026-08-12 09:01:40,step_32,상위_배선층_반복,RAMP,5.265271745816636,2.401965778384761,4.915157625605827,NORMAL
2026-08-12 09:01:45,step_32,상위_배선층_반복,RAMP,9.834630053831976,5.031425471402297,9.909674371419975,NORMAL
2026-08-12 09:01:50,step_32,상위_배선층_반복,RAMP,15.237790235016924,7.4881174504860954,14.888901855392726,NORMAL
2026-08-12 09:01:55,step_32,상위_배선층_반복,RAMP,20.0658848787672,10.063001981952931,19.708347014161397,NORMAL
2026-08-12 09:02:00,step_32,상위_배선층_반복,RAMP,25.200112575664644,12.572868145874727,24.61632543898777,NORMAL
2026-08-12 09:02:05,step_32,상위_배선층_반복,RAMP,30.03523786372844,14.96824196891448,29.625467777193013,NORMAL
2026-08-12 09:02:10,step_32,상위_배선층_반복,RAMP,35.113367565757535,17.536603140224205,34.720339339364585,NORMAL
2026-08-12 09:02:15,step_32,상위_배선층_반복,RAMP,40.197920797498696,19.955171781146444,39.62985067131798,NORMAL
2026-08-12 09:02:20,step_32,상위_배선층_반복,RAMP,45.38143795230313,22.631607775711274,44.517767893875835,NORMAL
