Timestamp,Lot_ID,Wafer_ID,Address,Step_Name,Phase,Current_Density_mA_cm2,Bath_Temp_C,Additive_Conc_ppm,Plating_Time_sec,Status
2026-08-12 09:00:00,LOT-20260812-A01,W01,step_30,구리_전해도금,IDLE,0.22589661714509945,1.279942417124134,0.4878290448555816,9.036043190992439,NORMAL
2026-08-12 09:00:05,LOT-20260812-A01,W02,step_30,구리_전해도금,IDLE,0.2255805360910518,1.2537105591286335,0.5128459189507396,9.018511931349792,NORMAL
2026-08-12 09:00:10,LOT-20260812-A01,W03,step_30,구리_전해도금,IDLE,0.2260044279311424,1.2352358857994177,0.4950996346890482,8.990530558879003,NORMAL
2026-08-12 09:00:15,LOT-20260812-A01,W04,step_30,구리_전해도금,IDLE,0.22306818673596826,1.2374036767152439,0.5070838492629628,8.964241586793216,NORMAL
2026-08-12 09:00:20,LOT-20260812-A01,W05,step_30,구리_전해도금,IDLE,0.22785694106283336,1.272089370230402,0.49385776440783435,9.025995250777177,NORMAL
2026-08-12 09:00:25,LOT-20260812-A01,W06,step_30,구리_전해도금,IDLE,0.22641304611955518,1.2602574373090567,0.5128459189507396,9.02115813288023,NORMAL
2026-08-12 09:00:30,LOT-20260812-A01,W07,step_30,구리_전해도금,IDLE,0.22800601339243676,1.226654765582891,0.4996883699683391,9.02835955683094,NORMAL
2026-08-12 09:00:35,LOT-20260812-A01,W08,step_30,구리_전해도금,IDLE,0.22221164032297824,1.2259171215454034,0.4878290448555816,8.921778300758454,NORMAL
2026-08-12 09:00:40,LOT-20260812-A01,W09,step_30,구리_전해도금,IDLE,0.22235853356393367,1.2503758182669935,0.5047007642495509,9.01696390714855,NORMAL
2026-08-12 09:00:45,LOT-20260812-A01,W10,step_30,구리_전해도금,IDLE,0.23014848747364858,1.2592473256218226,0.5128459189507396,8.984566657632932,NORMAL
2026-08-12 09:00:50,LOT-20260812-A01,W11,step_30,구리_전해도금,IDLE,0.22786782322567883,1.239829285348304,0.5118826317537237,8.956070139686487,NORMAL
2026-08-12 09:00:55,LOT-20260812-A01,W12,step_30,구리_전해도금,IDLE,0.22296228086685554,1.2247974462606446,0.500935003701818,9.036421347211,NORMAL
2026-08-12 09:01:00,LOT-20260812-A01,W13,step_30,구리_전해도금,IDLE,0.22717038152803423,1.2331224239763154,0.5081207532355665,9.008863519514945,NORMAL
