Timestamp,Lot_ID,Wafer_ID,Address,Step_Name,Phase,Yield_Rate_Pct,Contact_Resistance_Ohm,Leakage_Current_nA,Status
2026-08-12 09:00:00,LOT-20260812-A01,W01,step_35,칩_테스트,IDLE,4.9025007722256575,0.5886442438596219,0.02467542213499168,NORMAL
2026-08-12 09:00:05,LOT-20260812-A01,W02,step_35,칩_테스트,IDLE,4.893985990952704,0.6100690075244015,0.025940828398324588,NORMAL
2026-08-12 09:00:10,LOT-20260812-A01,W03,step_35,칩_테스트,IDLE,4.9307376583346265,0.6100690075244015,0.02467542213499168,NORMAL
2026-08-12 09:00:15,LOT-20260812-A01,W04,step_35,칩_테스트,IDLE,4.942618706993498,0.5922728943005703,0.025291623064716186,NORMAL
2026-08-12 09:00:20,LOT-20260812-A01,W05,step_35,칩_테스트,IDLE,4.898051019203461,0.6053641616332126,0.024876505624872973,NORMAL
2026-08-12 09:00:25,LOT-20260812-A01,W06,step_35,칩_테스트,IDLE,4.932544570499728,0.5969209511425755,0.025161785100078903,NORMAL
2026-08-12 09:00:30,LOT-20260812-A01,W07,step_35,칩_테스트,IDLE,4.888562838645467,0.5907901920960295,0.02507394872999481,NORMAL
2026-08-12 09:00:35,LOT-20260812-A01,W08,step_35,칩_테스트,IDLE,4.951521107792454,0.5952724506773523,0.024968034309119567,NORMAL
2026-08-12 09:00:40,LOT-20260812-A01,W09,step_35,칩_테스트,IDLE,4.910717935777026,0.6019279586853384,0.02467542213499168,NORMAL
2026-08-12 09:00:45,LOT-20260812-A01,W10,step_35,칩_테스트,IDLE,4.920899329317254,0.586226459494269,0.02467542213499168,NORMAL
2026-08-12 09:00:50,LOT-20260812-A01,W11,step_35,칩_테스트,IDLE,4.946607927342357,0.5837683490204302,0.025315985832956207,NORMAL
2026-08-12 09:00:55,LOT-20260812-A01,W12,step_35,칩_테스트,IDLE,4.944280084757024,0.5866559092593957,0.025052706133984515,NORMAL
2026-08-12 09:01:00,LOT-20260812-A01,W13,step_35,칩_테스트,IDLE,4.936848654422309,0.6049185112384347,0.02467542213499168,NORMAL
2026-08-12 09:01:05,LOT-20260812-A01,W14,step_35,칩_테스트,IDLE,4.95073705604264,0.5803095437427235,0.025343384162680564,NORMAL
2026-08-12 09:01:10,LOT-20260812-A01,W15,step_35,칩_테스트,IDLE,4.935226164980679,0.5803095437427235,0.02467542213499168,NORMAL
2026-08-12 09:01:15,LOT-20260812-A01,W16,step_35,칩_테스트,IDLE,4.961188319544696,0.6100690075244015,0.025940828398324588,NORMAL
2026-08-12 09:01:20,LOT-20260812-A01,W17,step_35,칩_테스트,IDLE,4.882230397510084,0.5848016784184153,0.025940828398324588,NORMAL
2026-08-12 09:01:25,LOT-20260812-A01,W18,step_35,칩_테스트,IDLE,4.923510831525903,0.5970898631664521,0.025940828398324588,NORMAL
2026-08-12 09:01:30,LOT-20260812-A01,W19,step_35,칩_테스트,IDLE,4.92244835413577,0.6100690075244015,0.025940828398324588,NORMAL
2026-08-12 09:01:35,LOT-20260812-A01,W20,step_35,칩_테스트,IDLE,4.919525731839138,0.5803095437427235,0.02581416737961986,NORMAL
2026-08-12 09:01:40,LOT-20260812-A01,W21,step_35,칩_테스트,RAMP,4.974742879706456,0.5136334946670286,0.024160673793624507,NORMAL
2026-08-12 09:01:45,LOT-20260812-A01,W22,step_35,칩_테스트,RAMP,9.871399600186118,1.162045012027958,0.042403758469883535,NORMAL
