Timestamp,Address,Step_Name,Phase,Susceptor_Temp_C,Chamber_Pressure_mTorr,Precursor_Flow_sccm,RF_Power_W,Film_Thickness_nm,Status
2026-08-12 09:00:00,step_33,보호막_증착,IDLE,32.7494185891265,39.67888452755275,7.427111835449612,40.22128710867449,2.223596038303455,NORMAL
2026-08-12 09:00:05,step_33,보호막_증착,IDLE,32.63033097132546,40.20095367305051,7.539117459457278,40.35209351704561,2.2690941616001683,NORMAL
2026-08-12 09:00:10,step_33,보호막_증착,IDLE,32.341876291080176,40.2726859579473,7.632897209124649,40.387197377151914,2.2685277468976595,NORMAL
2026-08-12 09:00:15,step_33,보호막_증착,IDLE,32.402813584561116,40.94129825546622,7.403929405008817,39.92405232811295,2.2746169379880055,NORMAL
2026-08-12 09:00:20,step_33,보호막_증착,IDLE,32.45305300698658,40.35636342128462,7.478667212831393,40.686847586870094,2.2709484990736692,NORMAL
2026-08-12 09:00:25,step_33,보호막_증착,IDLE,32.47220849111942,40.96031362252046,7.476721180772303,39.963606982928155,2.2771786386094455,NORMAL
2026-08-12 09:00:30,step_33,보호막_증착,IDLE,32.134243057337336,40.00776438957294,7.464228496286162,39.82713623838928,2.26015790960374,NORMAL
2026-08-12 09:00:35,step_33,보호막_증착,IDLE,32.387026094266844,40.15345066706401,7.580189630975152,40.1166665430679,2.2950735246066016,NORMAL
2026-08-12 09:00:40,step_33,보호막_증착,IDLE,32.416954850703156,39.77274847952857,7.588108257862746,40.169299189836295,2.257341264526589,NORMAL
2026-08-12 09:00:45,step_33,보호막_증착,IDLE,32.78358398580416,39.79095883016998,7.5406673191149025,39.74045398620825,2.2999815954446268,NORMAL
2026-08-12 09:00:50,step_33,보호막_증착,IDLE,32.53403884395626,40.058840132232966,7.535893510746936,39.94447179917116,2.234340285632107,NORMAL
2026-08-12 09:00:55,step_33,보호막_증착,IDLE,32.38029769296089,39.766998333435744,7.443779157795167,39.84356000250295,2.2337015143508805,NORMAL
2026-08-12 09:01:00,step_33,보호막_증착,IDLE,32.4342203922996,38.974365547297246,7.533052795901232,40.04954001769294,2.245190436229499,NORMAL
2026-08-12 09:01:05,step_33,보호막_증착,IDLE,32.563763132817286,39.73327972744714,7.371483035582848,40.27855065478554,2.249063013654656,NORMAL
